CID,CNTRY
AW-00011201,US
AW-00011202,US
AW-00011203,Canada
AW-00011204,US
AW-00011205,US
AW-00011206,US
AW-00011207,US
AW-00011208,US
AW-00011209,US
AW-00011210,US
AW-00011211,Canada
AW-00011212,Canada
AW-00011213,US
AW-00011214,US
AW-00011215,Canada
AW-00011216,US
AW-00011217,US
AW-00011218,US
AW-00011219,US
AW-00011220,US
AW-00011221,US
AW-00011222,US
AW-00011223,Canada
AW-00011224,US
AW-00011225,US
AW-00011226,US
AW-00011227,US
AW-00011228,US
AW-00011229,US
AW-00011230,US
AW-00011231,US
AW-00011232,US
AW-00011233,US
AW-00011234,US
AW-00011235,US
AW-00011236,US
AW-00011237,DE
AW-00011238,United Kingdom
AW-00011239,United Kingdom
AW-00011240,United Kingdom
AW-00011241,France
AW-00011242,France
AW-00011243,United Kingdom
AW-00011244,United Kingdom
AW-00011245,DE
AW-00011246,DE
AW-00011247,United Kingdom
AW-00011248,France
AW-00011249,DE
AW-00011250,United Kingdom
AW-00011251,Canada
AW-00011252,US
AW-00011253,Canada
AW-00011254,US
AW-00011255,US
AW-00011256,US
AW-00011257,US
AW-00011258,US
AW-00011259,US
AW-00011260,US
AW-00011261,US
AW-00011262,Canada
AW-00011263,US
AW-00011264,US
AW-00011265,US
AW-00011266,US
AW-00011267,US
AW-00011268,US
AW-00011269,US
AW-00011270,US
AW-00011271,US
AW-00011272,US
AW-00011273,US
AW-00011274,US
AW-00011275,US
AW-00011276,Canada
AW-00011277,Canada
AW-00011278,US
AW-00011279,US
AW-00011280,US
AW-00011281,US
AW-00011282,US
AW-00011283,US
AW-00011284,US
AW-00011285,US
AW-00011286,US
AW-00011287,Canada
AW-00011288,US
AW-00011289,US
AW-00011290,US
AW-00011291,US
AW-00011292,US
AW-00011293,US
AW-00011294,US
AW-00011295,US
AW-00011296,US
AW-00011297,US
AW-00011298,US
AW-00011299,US
AW-00011300,Canada
AW-00011301,US
AW-00011302,US
AW-00011303,US
AW-00011304,US
AW-00011305,US
AW-00011306,US
AW-00011307,US
AW-00011308,US
AW-00011309,US
AW-00011310,US
AW-00011311,US
AW-00011312,US
AW-00011313,US
AW-00011314,US
AW-00011315,US
AW-00011316,Canada
AW-00011317,US
AW-00011318,US
AW-00011319,US
AW-00011320,US
AW-00011321,US
AW-00011322,US
AW-00011323,US
AW-00011324,US
AW-00011325,US
AW-00011326,US
AW-00011327,US
AW-00011328,Canada
AW-00011329,US
AW-00011330,Canada
AW-00011331,Canada
AW-00011332,DE
AW-00011333,United Kingdom
AW-00011334,United Kingdom
AW-00011335,DE
AW-00011336,France
AW-00011337,United Kingdom
AW-00011338,DE
AW-00011339,France
AW-00011340,France
AW-00011341,United Kingdom
AW-00011342,France
AW-00011343,United Kingdom
AW-00011344,United Kingdom
AW-00011345,France
AW-00011346,France
AW-00011347,DE
AW-00011348,DE
AW-00011349,DE
AW-00011350,United Kingdom
AW-00011351,United Kingdom
AW-00011352,France
AW-00011353,United Kingdom
AW-00011354,DE
AW-00011355,United Kingdom
AW-00011356,Australia
AW-00011357,Australia
AW-00011358,Australia
AW-00011359,Australia
AW-00011360,Australia
AW-00011361,Australia
AW-00011362,Australia
AW-00011363,Australia
AW-00011364,Australia
AW-00011365,Australia
AW-00011366,Australia
AW-00011367,Australia
AW-00011368,Australia
AW-00011369,Australia
AW-00011370,Australia
AW-00011371,Australia
AW-00011372,Australia
AW-00011373,DE
AW-00011374,DE
AW-00011375,United Kingdom
AW-00011376,United Kingdom
AW-00011377,DE
AW-00011378,France
AW-00011379,France
AW-00011380,DE
AW-00011381,United Kingdom
AW-00011382,France
AW-00011383,France
AW-00011384,France
AW-00011385,United Kingdom
AW-00011386,DE
AW-00011387,United Kingdom
AW-00011388,United Kingdom
AW-00011389,DE
AW-00011390,France
AW-00011391,DE
AW-00011392,DE
AW-00011393,France
AW-00011394,United Kingdom
AW-00011395,DE
AW-00011396,DE
AW-00011397,France
AW-00011398,United Kingdom
AW-00011399,France
AW-00011400,United Kingdom
